data; 
param : Itens: 	custo   lucro   :=
         a		  	9	   150      
         b        	13	   35	      
         c		  	153	   200        
         d	  	  	50	   60	      
         e	  		15	   60	      
         g		  	68	   45	      
         h		  	27	   60	      
         i		  	39	   40	      
         j		  	23	   30	      
         k	  		11	   70	      
         l		  	52	   10	      
         m		  	32	   30	      
         n	  		24	   15	      
         o	  		48	   10	      
         p	  		73	   40	      
         q	  		42	   70	      
         r	  		43	   75	      
         s	  		22	   80	      
         t	  		7      20	     
         u		  	18	   12	      
         v		  	4      50	      
         w		  	30	   10	      
;
end;
